Date, Time,Power
01.07.2022,11:00:00,212.8
01.07.2022,11:15:00,142.4
01.07.2022,11:30:00,169.6
01.07.2022,11:45:00,185.6
01.07.2022,12:00:00,211.2
01.07.2022,12:15:00,142.4
01.07.2022,12:30:00,208
01.07.2022,12:45:00,256
01.07.2022,13:00:00,206.4
01.07.2022,13:15:00,116.8
01.07.2022,13:30:00,188.8
01.07.2022,13:45:00,241.6
01.07.2022,14:00:00,209.6
01.07.2022,14:15:00,113.6
01.07.2022,14:30:00,148.8
01.07.2022,14:45:00,192
01.07.2022,15:00:00,169.6
01.07.2022,15:15:00,222.4
01.07.2022,15:30:00,288
01.07.2022,15:45:00,283.2
01.07.2022,16:00:00,211.2
01.07.2022,16:15:00,193.6
01.07.2022,16:30:00,318.4
01.07.2022,16:45:00,296
01.07.2022,17:00:00,532.8
01.07.2022,17:15:00,832
01.07.2022,17:30:00,676.8
01.07.2022,17:45:00,283.2
01.07.2022,18:00:00,478.4
01.07.2022,18:15:00,364.8
01.07.2022,18:30:00,371.2
01.07.2022,18:45:00,336
01.07.2022,19:00:00,195.2
01.07.2022,19:15:00,164.8
01.07.2022,19:30:00,139.2
01.07.2022,19:45:00,91.2
01.07.2022,20:00:00,57.6
01.07.2022,20:15:00,41.6
01.07.2022,20:30:00,35.2
01.07.2022,20:45:00,27.2
01.07.2022,21:00:00,19.2
01.07.2022,21:15:00,9.6
01.07.2022,21:30:00,1.6
01.07.2022,21:45:00,0
01.07.2022,22:00:00,0
01.07.2022,22:15:00,0
01.07.2022,22:30:00,0
01.07.2022,22:45:00,0
01.07.2022,23:00:00,0
01.07.2022,23:15:00,0
01.07.2022,23:30:00,0
01.07.2022,23:45:00,0
02.07.2022,00:00:00,0
02.07.2022,00:15:00,0
02.07.2022,00:30:00,0
02.07.2022,00:45:00,0
02.07.2022,01:00:00,0
02.07.2022,01:15:00,0
02.07.2022,01:30:00,0
02.07.2022,01:45:00,0
02.07.2022,02:00:00,0
02.07.2022,02:15:00,0
02.07.2022,02:30:00,0
02.07.2022,02:45:00,0
02.07.2022,03:00:00,0
02.07.2022,03:15:00,0
02.07.2022,03:30:00,0
02.07.2022,03:45:00,0
02.07.2022,04:00:00,0
02.07.2022,04:15:00,0
02.07.2022,04:30:00,0
02.07.2022,04:45:00,0
02.07.2022,05:00:00,0
02.07.2022,05:15:00,0
02.07.2022,05:30:00,1.6
02.07.2022,05:45:00,14.4
02.07.2022,06:00:00,24
02.07.2022,06:15:00,41.6
02.07.2022,06:30:00,48
02.07.2022,06:45:00,52.8
02.07.2022,07:00:00,76.8
02.07.2022,07:15:00,123.2
02.07.2022,07:30:00,188.8
02.07.2022,07:45:00,259.2
02.07.2022,08:00:00,332.8
02.07.2022,08:15:00,417.6
02.07.2022,08:30:00,505.6
02.07.2022,08:45:00,588.8
02.07.2022,09:00:00,665.6
02.07.2022,09:15:00,731.2
02.07.2022,09:30:00,800
02.07.2022,09:45:00,867.2
02.07.2022,10:00:00,934.4
02.07.2022,10:15:00,990.4
02.07.2022,10:30:00,1046.4
02.07.2022,10:45:00,1092.8
02.07.2022,11:00:00,1131.2
02.07.2022,11:15:00,1179.2
02.07.2022,11:30:00,1219.2
02.07.2022,11:45:00,1184
02.07.2022,12:00:00,1211.2
02.07.2022,12:15:00,1291.2
02.07.2022,12:30:00,1225.6
02.07.2022,12:45:00,1347.2
02.07.2022,13:00:00,1080
02.07.2022,13:15:00,862.4
02.07.2022,13:30:00,1366.4
02.07.2022,13:45:00,1115.2
02.07.2022,14:00:00,1144
02.07.2022,14:15:00,1016
02.07.2022,14:30:00,1251.2
02.07.2022,14:45:00,1254.4
02.07.2022,15:00:00,1232
02.07.2022,15:15:00,190.4
02.07.2022,15:30:00,177.6
02.07.2022,15:45:00,800
02.07.2022,16:00:00,1086.4
02.07.2022,16:15:00,1046.4
02.07.2022,16:30:00,993.6
02.07.2022,16:45:00,947.2
02.07.2022,17:00:00,881.6
