,Date,Time,Hours,Minutes,Month,Power,Status,Week Day,Weekend or weekday,Part of the day
198859,2022-01-01,11:00:00,11,0,1,104,W,Saturday,Weekend,Morning
198860,2022-01-01,11:15:00,11,15,1,91.2,W,Saturday,Weekend,Morning
198861,2022-01-01,11:30:00,11,30,1,86.4,W,Saturday,Weekend,Morning
198862,2022-01-01,11:45:00,11,45,1,112,W,Saturday,Weekend,Morning
198863,2022-01-01,12:00:00,12,0,1,139.2,W,Saturday,Weekend,Afternoon
198864,2022-01-01,12:15:00,12,15,1,137.6,W,Saturday,Weekend,Afternoon
198865,2022-01-01,12:30:00,12,30,1,161.6,W,Saturday,Weekend,Afternoon
198866,2022-01-01,12:45:00,12,45,1,144,W,Saturday,Weekend,Afternoon
198867,2022-01-01,13:00:00,13,0,1,97.6,W,Saturday,Weekend,Afternoon
198868,2022-01-01,13:15:00,13,15,1,128,W,Saturday,Weekend,Afternoon
198869,2022-01-01,13:30:00,13,30,1,132.8,W,Saturday,Weekend,Afternoon
198870,2022-01-01,13:45:00,13,45,1,179.2,W,Saturday,Weekend,Afternoon
198871,2022-01-01,14:00:00,14,0,1,129.6,W,Saturday,Weekend,Afternoon
198872,2022-01-01,14:15:00,14,15,1,126.4,W,Saturday,Weekend,Afternoon
198873,2022-01-01,14:30:00,14,30,1,118.4,W,Saturday,Weekend,Afternoon
198874,2022-01-01,14:45:00,14,45,1,84.8,W,Saturday,Weekend,Afternoon
198875,2022-01-01,15:00:00,15,0,1,64,W,Saturday,Weekend,Afternoon
198876,2022-01-01,15:15:00,15,15,1,54.4,W,Saturday,Weekend,Afternoon
198877,2022-01-01,15:30:00,15,30,1,24,W,Saturday,Weekend,Afternoon
198878,2022-01-01,15:45:00,15,45,1,22.4,W,Saturday,Weekend,Afternoon
198879,2022-01-01,16:00:00,16,0,1,30.4,W,Saturday,Weekend,Afternoon
198880,2022-01-01,16:15:00,16,15,1,16,W,Saturday,Weekend,Afternoon
198881,2022-01-01,16:30:00,16,30,1,1.6,W,Saturday,Weekend,Afternoon
198882,2022-01-01,16:45:00,16,45,1,0,W,Saturday,Weekend,Afternoon
198883,2022-01-01,17:00:00,17,0,1,0,W,Saturday,Weekend,Afternoon
198884,2022-01-01,17:15:00,17,15,1,0,W,Saturday,Weekend,Afternoon
198885,2022-01-01,17:30:00,17,30,1,0,W,Saturday,Weekend,Afternoon
198886,2022-01-01,17:45:00,17,45,1,0,W,Saturday,Weekend,Afternoon
198887,2022-01-01,18:00:00,18,0,1,0,W,Saturday,Weekend,Afternoon
198888,2022-01-01,18:15:00,18,15,1,0,W,Saturday,Weekend,Afternoon
198889,2022-01-01,18:30:00,18,30,1,0,W,Saturday,Weekend,Afternoon
198890,2022-01-01,18:45:00,18,45,1,0,W,Saturday,Weekend,Afternoon
198891,2022-01-01,19:00:00,19,0,1,0,W,Saturday,Weekend,Afternoon
198892,2022-01-01,19:15:00,19,15,1,0,W,Saturday,Weekend,Afternoon
198893,2022-01-01,19:30:00,19,30,1,0,W,Saturday,Weekend,Afternoon
198894,2022-01-01,19:45:00,19,45,1,0,W,Saturday,Weekend,Afternoon
198895,2022-01-01,20:00:00,20,0,1,0,W,Saturday,Weekend,Night
198896,2022-01-01,20:15:00,20,15,1,0,W,Saturday,Weekend,Night
198897,2022-01-01,20:30:00,20,30,1,0,W,Saturday,Weekend,Night
198898,2022-01-01,20:45:00,20,45,1,0,W,Saturday,Weekend,Night
198899,2022-01-01,21:00:00,21,0,1,0,W,Saturday,Weekend,Night
198900,2022-01-01,21:15:00,21,15,1,0,W,Saturday,Weekend,Night
198901,2022-01-01,21:30:00,21,30,1,0,W,Saturday,Weekend,Night
198902,2022-01-01,21:45:00,21,45,1,0,W,Saturday,Weekend,Night
198903,2022-01-01,22:00:00,22,0,1,0,W,Saturday,Weekend,Night
198904,2022-01-01,22:15:00,22,15,1,0,W,Saturday,Weekend,Night
198905,2022-01-01,22:30:00,22,30,1,0,W,Saturday,Weekend,Night
198906,2022-01-01,22:45:00,22,45,1,0,W,Saturday,Weekend,Night
198907,2022-01-01,23:00:00,23,0,1,0,W,Saturday,Weekend,Night
198908,2022-01-01,23:15:00,23,15,1,0,W,Saturday,Weekend,Night
198909,2022-01-01,23:30:00,23,30,1,0,W,Saturday,Weekend,Night
198910,2022-01-01,23:45:00,23,45,1,0,W,Saturday,Weekend,Night
198911,2022-01-02,00:00:00,0,0,1,0,W,Sunday,Weekend,Night
198912,2022-01-02,00:15:00,0,15,1,0,W,Sunday,Weekend,Night
198913,2022-01-02,00:30:00,0,30,1,0,W,Sunday,Weekend,Night
198914,2022-01-02,00:45:00,0,45,1,0,W,Sunday,Weekend,Night
198915,2022-01-02,01:00:00,1,0,1,0,W,Sunday,Weekend,Night
198916,2022-01-02,01:15:00,1,15,1,0,W,Sunday,Weekend,Night
198917,2022-01-02,01:30:00,1,30,1,0,W,Sunday,Weekend,Night
198918,2022-01-02,01:45:00,1,45,1,0,W,Sunday,Weekend,Night
198919,2022-01-02,02:00:00,2,0,1,0,W,Sunday,Weekend,Night
198920,2022-01-02,02:15:00,2,15,1,0,W,Sunday,Weekend,Night
198921,2022-01-02,02:30:00,2,30,1,0,W,Sunday,Weekend,Night
198922,2022-01-02,02:45:00,2,45,1,0,W,Sunday,Weekend,Night
198923,2022-01-02,03:00:00,3,0,1,0,W,Sunday,Weekend,Night
198924,2022-01-02,03:15:00,3,15,1,0,W,Sunday,Weekend,Night
198925,2022-01-02,03:30:00,3,30,1,0,W,Sunday,Weekend,Night
198926,2022-01-02,03:45:00,3,45,1,0,W,Sunday,Weekend,Night
198927,2022-01-02,04:00:00,4,0,1,0,W,Sunday,Weekend,Morning
198928,2022-01-02,04:15:00,4,15,1,0,W,Sunday,Weekend,Morning
198929,2022-01-02,04:30:00,4,30,1,0,W,Sunday,Weekend,Morning
198930,2022-01-02,04:45:00,4,45,1,0,W,Sunday,Weekend,Morning
198931,2022-01-02,05:00:00,5,0,1,0,W,Sunday,Weekend,Morning
198932,2022-01-02,05:15:00,5,15,1,0,W,Sunday,Weekend,Morning
198933,2022-01-02,05:30:00,5,30,1,0,W,Sunday,Weekend,Morning
198934,2022-01-02,05:45:00,5,45,1,0,W,Sunday,Weekend,Morning
198935,2022-01-02,06:00:00,6,0,1,0,W,Sunday,Weekend,Morning
198936,2022-01-02,06:15:00,6,15,1,0,W,Sunday,Weekend,Morning
198937,2022-01-02,06:30:00,6,30,1,0,W,Sunday,Weekend,Morning
198938,2022-01-02,06:45:00,6,45,1,0,W,Sunday,Weekend,Morning
198939,2022-01-02,07:00:00,7,0,1,0,W,Sunday,Weekend,Morning
198940,2022-01-02,07:15:00,7,15,1,0,W,Sunday,Weekend,Morning
198941,2022-01-02,07:30:00,7,30,1,0,W,Sunday,Weekend,Morning
198942,2022-01-02,07:45:00,7,45,1,0,W,Sunday,Weekend,Morning
198943,2022-01-02,08:00:00,8,0,1,0,W,Sunday,Weekend,Morning
198944,2022-01-02,08:15:00,8,15,1,0,W,Sunday,Weekend,Morning
198945,2022-01-02,08:30:00,8,30,1,6.4,W,Sunday,Weekend,Morning
198946,2022-01-02,08:45:00,8,45,1,24,W,Sunday,Weekend,Morning
198947,2022-01-02,09:00:00,9,0,1,43.2,W,Sunday,Weekend,Morning
198948,2022-01-02,09:15:00,9,15,1,104,W,Sunday,Weekend,Morning
198949,2022-01-02,09:30:00,9,30,1,73.6,W,Sunday,Weekend,Morning
198950,2022-01-02,09:45:00,9,45,1,75.2,W,Sunday,Weekend,Morning
198951,2022-01-02,10:00:00,10,0,1,86.4,W,Sunday,Weekend,Morning
198952,2022-01-02,10:15:00,10,15,1,182.4,W,Sunday,Weekend,Morning
198953,2022-01-02,10:30:00,10,30,1,211.2,W,Sunday,Weekend,Morning
198954,2022-01-02,10:45:00,10,45,1,238.4,W,Sunday,Weekend,Morning
198955,2022-01-02,11:00:00,11,0,1,214.4,W,Sunday,Weekend,Morning
198956,2022-01-02,11:15:00,11,15,1,148.8,W,Sunday,Weekend,Morning
198957,2022-01-02,11:30:00,11,30,1,136,W,Sunday,Weekend,Morning
198958,2022-01-02,11:45:00,11,45,1,121.6,W,Sunday,Weekend,Morning
198959,2022-01-02,12:00:00,12,0,1,200,W,Sunday,Weekend,Afternoon
198960,2022-01-02,12:15:00,12,15,1,161.6,W,Sunday,Weekend,Afternoon
198961,2022-01-02,12:30:00,12,30,1,272,W,Sunday,Weekend,Afternoon
198962,2022-01-02,12:45:00,12,45,1,128,W,Sunday,Weekend,Afternoon
198963,2022-01-02,13:00:00,13,0,1,81.6,W,Sunday,Weekend,Afternoon
198964,2022-01-02,13:15:00,13,15,1,44.8,W,Sunday,Weekend,Afternoon
198965,2022-01-02,13:30:00,13,30,1,33.6,W,Sunday,Weekend,Afternoon
198966,2022-01-02,13:45:00,13,45,1,33.6,W,Sunday,Weekend,Afternoon
198967,2022-01-02,14:00:00,14,0,1,27.2,W,Sunday,Weekend,Afternoon
198968,2022-01-02,14:15:00,14,15,1,32,W,Sunday,Weekend,Afternoon
198969,2022-01-02,14:30:00,14,30,1,73.6,W,Sunday,Weekend,Afternoon
198970,2022-01-02,14:45:00,14,45,1,80,W,Sunday,Weekend,Afternoon
198971,2022-01-02,15:00:00,15,0,1,94.4,W,Sunday,Weekend,Afternoon
198972,2022-01-02,15:15:00,15,15,1,86.4,W,Sunday,Weekend,Afternoon
198973,2022-01-02,15:30:00,15,30,1,48,W,Sunday,Weekend,Afternoon
198974,2022-01-02,15:45:00,15,45,1,46.4,W,Sunday,Weekend,Afternoon
198975,2022-01-02,16:00:00,16,0,1,27.2,W,Sunday,Weekend,Afternoon
198976,2022-01-02,16:15:00,16,15,1,12.8,W,Sunday,Weekend,Afternoon
198977,2022-01-02,16:30:00,16,30,1,1.6,W,Sunday,Weekend,Afternoon
198978,2022-01-02,16:45:00,16,45,1,0,W,Sunday,Weekend,Afternoon
198979,2022-01-02,17:00:00,17,0,1,0,W,Sunday,Weekend,Afternoon
198980,2022-01-02,17:15:00,17,15,1,0,W,Sunday,Weekend,Afternoon
198981,2022-01-02,17:30:00,17,30,1,0,W,Sunday,Weekend,Afternoon
198982,2022-01-02,17:45:00,17,45,1,0,W,Sunday,Weekend,Afternoon
198983,2022-01-02,18:00:00,18,0,1,0,W,Sunday,Weekend,Afternoon
198984,2022-01-02,18:15:00,18,15,1,0,W,Sunday,Weekend,Afternoon
198985,2022-01-02,18:30:00,18,30,1,0,W,Sunday,Weekend,Afternoon
198986,2022-01-02,18:45:00,18,45,1,0,W,Sunday,Weekend,Afternoon
198987,2022-01-02,19:00:00,19,0,1,0,W,Sunday,Weekend,Afternoon
198988,2022-01-02,19:15:00,19,15,1,0,W,Sunday,Weekend,Afternoon
198989,2022-01-02,19:30:00,19,30,1,0,W,Sunday,Weekend,Afternoon
198990,2022-01-02,19:45:00,19,45,1,0,W,Sunday,Weekend,Afternoon
198991,2022-01-02,20:00:00,20,0,1,0,W,Sunday,Weekend,Night
198992,2022-01-02,20:15:00,20,15,1,0,W,Sunday,Weekend,Night
198993,2022-01-02,20:30:00,20,30,1,0,W,Sunday,Weekend,Night
198994,2022-01-02,20:45:00,20,45,1,0,W,Sunday,Weekend,Night
